Player: 	Alts
('FuddleCísh',)	('Señor | FuddleCísh',)
('Starmfruit',)	('Starmfruit',)
('Thom',)	('Thom',)
('Jaxtaxman',)	('UARK | Jaxtaxman',)
('BetaGachaGamer',)	('BetaGachaGamer',)
('Merge-up',)	('Merge-up',)
('Varroa',)	('Varroa',)
('Watermeloan',)	('Watermeloan',)
('Goomba',)	('Goomba',)
('Lacoixboi',)	('Lacoixboi',)
('Ray',)	('Ray',)
('Smoke',)	('Smoke',)
('Altaria',)	('Altaria',)
('Izzy',)	('Izzy',)
('Funky Junky',)	('Funky Junky',)
('macNg',)	('macNg',)
('momluvr69',)	('momluvr69',)
('MrCrocMan',)	('MrCrocMan',)
('Wayne',)	('Wayne',)
('Riko',)	('iQ | Riko',)
('Steven',)	('MBS | Steven',)
('Rox',)	('Rox',)
('ViolinGamer',)	('Violin',)
('Cap',)	('Fellas | Cap',)
('Physics',)	('Physics',)
('BTBrawler',)	('BTBrawler',)
('JinWoo',)	('JinWoo',)
('Anas',)	('Phd | Anas',)
('ShuffleDuck',)	('ShuffleDuck',)
('mrboi',)	('mrboi',)
('Plaph',)	('Plaph',)
('Wafflemage',)	('Wafflemage',)
('Camping',)	('Camping',)
('grinch',)	('grinch',)
('Wonderllama',)	('Wonderllama',)
('Potica',)	('Fortnite_Bootyballs',)
('BKQ',)	('BKQ',)
('DiabloPabloSan',)	('DiabloPabloSan',)
('KamiKa2e',)	('KamiKa2e',)
('mike',)	('mike',)
('sink',)	('sink',)
('Clover',)	('Clover',)
('DR3ADZ',)	('CRIT | DR3ADZ',)
('juku',)	"(""D'Z | juku"",)"
('Pistolet',)	('DN | Pistolet',)
('Galaxxyss',)	('Galaxxyss',)
('Grain',)	('Grain',)
('HatGuy',)	('HatGuy',)
('Isaac (Mankato)',)	('Isaac',)
('OnTheDownBeat',)	('OnTheDownBeat',)
('Travnks',)	('Travnks',)
('VoidOfRoses',)	('VoidOfRoses',)
('Xtornado',)	('Xtornado',)
('AstraFry',)	('AstraFry',)
('Merten',)	('Merten',)
('Hennu_TRM',)	('Hennu_TRM',)
('SirSilky',)	('SirSilky',)
('Skaothi',)	('Skaothi',)
('GroeneVis',)	('GroeneVis',)
('leviathan',)	('leviathan',)
('DireWolf',)	('DireWolf',)
('DmMeUrFeet',)	('DmMeUrFeet',)
('Fyre',)	('Fyre',)
('GumpTheDump',)	('GumpTheDump',)
('Prongs',)	('Prongs',)
('HaroonChan',)	('HaroonChan',)
('Chicken Nuggets',)	('Chicken Nuggets',)
('Familiar_Nobody',)	('Familiar_Nobody',)
('pikúshu',)	('420 | pikúshu',)
('cd2000',)	('cd2000',)
('ceedyiris',)	('ceedyiris',)
('DudeBro',)	('DudeBro',)
('NekoKai',)	('NekoKai',)
('McClane',)	('McClane',)
('Rognan',)	('Rognan',)
('Smitty',)	('Smitty',)
('Zarg0n',)	('Zarg0n',)
('zwags',)	('zwags',)
('autumn!',)	('autumn!',)
('Boníek',)	('Boníek',)
('SWIM',)	('SWIM',)
('Chucknugget20',)	('Chucknugget20',)
('GoGo101',)	('Foley | GoGo101',)
